49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
82,1,84
83,0,116
84,1,84
85,0,116
86,1,84
87,0,116
88,1,84
89,0,116
90,1,84
91,0,116
92,1,84
93,0,116
94,1,84
95,0,116
96,1,84
97,0,116
98,1,84
99,0,116
0,1,84
1,0,116
2,1,84
3,0,116
4,1,84
5,0,116
6,1,84
7,0,116
8,1,84
9,0,116
10,1,84
11,0,116
12,1,84
13,0,116
14,1,84
15,0,116
16,1,84
17,0,116
18,1,84
19,0,116
20,1,84
21,0,116
22,1,84
23,0,116
24,1,84
25,0,116
26,1,84
27,0,116
28,1,84
29,0,116
30,1,84
31,0,116
32,1,84
33,0,116
34,1,84
35,0,116
36,1,84
37,0,116
38,1,84
39,0,116
40,1,84
41,0,116
42,1,84
43,0,116
44,1,84
45,0,116
46,1,84
47,0,116
48,1,84
49,0,116
50,1,84
51,0,116
52,1,84
53,0,116
54,1,84
55,0,116
56,1,84
57,0,116
58,1,84
59,0,116
60,1,84
61,0,116
62,1,84
63,0,116
64,1,84
65,0,116
66,1,84
67,0,116
68,1,84
69,0,116
70,1,84
71,0,116
72,1,84
73,0,116
74,1,84
75,0,116
76,1,84
77,0,116
78,1,84
79,0,116
80,1,84
81,0,116
